y_lower_0_to_1,y_upper_2_to_1,u_lower,u_upper_inverted,v_lower,v_upper_inverted,pressure_lower,pressure_upper_inverted,temp_lower,temp_upper_inverted,scalar_1_lower,scalar_1_upper_inverted,scalar_2_lower,scalar_2_upper_inverted
1.6750000000000001e-01,1.8325000000000000e+00,9.1762854173386954e-01,9.1762922742220920e-01,-1.7237887021888936e-11,-3.2792555335499214e-11,-5.3006972639456595e-10,3.3615046706153971e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.9147098755935445e-03,4.9147096798089276e-03,4.4704049265753532e-01,4.4704043067974791e-01
1.7000000000000001e-01,1.8300000000000001e+00,9.1934522901723625e-01,9.1934600730860683e-01,-2.4364402333011430e-11,-4.8210049772337869e-11,-5.2560652426190957e-10,3.3596065710158869e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.8995875152065636e-03,4.8995873114528136e-03,4.5376627372373646e-01,4.5376620956603153e-01
1.7250000000000001e-01,1.8274999999999999e+00,9.2098426518213650e-01,9.2098469160212448e-01,-3.5873102770718629e-11,-6.8096193309320063e-11,-5.0074693075104290e-10,3.3526726839371284e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.8844899413062626e-03,4.8844898522918522e-03,4.6049918969895015e-01,4.6049915802210378e-01
1.7500000000000002e-01,1.8250000000000000e+00,9.2262330134703674e-01,9.2262337589564203e-01,-4.7381803208425819e-11,-8.7982336846300499e-11,-4.7588733724017624e-10,3.3457387968583710e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.8693923674059626e-03,4.8693923931308917e-03,4.6723210567416390e-01,4.6723210647817548e-01
1.7749999999999999e-01,1.8225000000000000e+00,9.2426233751193698e-01,9.2426206018915957e-01,-5.8890503646132880e-11,-1.0786848038328092e-10,-4.5102774372930983e-10,3.3388049097796133e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.8542947935056625e-03,4.8542949339699312e-03,4.7396502164937754e-01,4.7396505493424718e-01
1.7999999999999999e-01,1.8200000000000001e+00,9.2589746631981862e-01,9.2589685412173783e-01,-6.9502171136337238e-11,-1.2621985632129840e-10,-4.2724311036124488e-10,3.3312136403596447e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.8391988335211820e-03,4.8391990833615136e-03,4.8069845265589256e-01,4.8069851697636806e-01
1.8250000000000000e-01,1.8174999999999999e+00,9.2744419117515353e-01,9.2744362863806240e-01,-5.9818468189290384e-11,-1.0984711533272224e-10,-4.2777945022406816e-10,3.3087490954697517e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.8241393883821405e-03,4.8241396262543633e-03,4.8744353624559861e-01,4.8744359890285233e-01
1.8500000000000000e-01,1.8149999999999999e+00,9.2899091603048845e-01,9.2899040315438686e-01,-5.0134765242243529e-11,-9.3474374344147556e-11,-4.2831579008689138e-10,3.2862845505798604e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.8090799432430990e-03,4.8090801691472148e-03,4.9418861983530460e-01,4.9418868082933598e-01
1.8750000000000000e-01,1.8125000000000000e+00,9.3053764088582325e-01,9.3053717767071131e-01,-4.0451062295196674e-11,-7.7101633355572856e-11,-4.2885212994971466e-10,3.2638200056899686e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.7940204981040575e-03,4.7940207120400662e-03,5.0093370342501065e-01,5.0093376275581969e-01
1.9000000000000000e-01,1.8100000000000001e+00,9.3208436574115816e-01,9.3208395218703577e-01,-3.0767359348149813e-11,-6.0728892366998169e-11,-4.2938846981253793e-10,3.2413554608000773e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.7789610529650152e-03,4.7789612549329176e-03,5.0767878701471669e-01,5.0767884468230329e-01
1.9250000000000000e-01,1.8075000000000001e+00,9.3356111636922945e-01,9.3356067391865816e-01,-2.7817174552138775e-11,-5.3841305165366544e-11,-4.3259844507718131e-10,3.1965449509442864e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.7639382383178816e-03,4.7639385053252718e-03,5.1443674166900222e-01,5.1443683377870109e-01
1.9500000000000001e-01,1.8049999999999999e+00,9.3502140247323873e-01,9.3502091264211562e-01,-2.6451346968136106e-11,-4.9185518854781534e-11,-4.3643751102460589e-10,3.1464765669788637e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.7489240426100204e-03,4.7489243927763313e-03,5.2119772480907123e-01,5.2119785985625566e-01
1.9750000000000001e-01,1.8025000000000000e+00,9.3648168857724812e-01,9.3648115136557286e-01,-2.5085519384133441e-11,-4.4529732544196936e-11,-4.4027657697203048e-10,3.0964081830134457e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.7339098469021592e-03,4.7339102802273925e-03,5.2795870794914024e-01,5.2795888593380980e-01
2.0000000000000001e-01,1.8000000000000000e+00,9.3794197468125740e-01,9.3794139008903010e-01,-2.3719691800130772e-11,-3.9873946233612339e-11,-4.4411564291945506e-10,3.0463397990480272e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.7188956511942980e-03,4.7188961676784538e-03,5.3471969108920925e-01,5.3471991201136382e-01
2.0250000000000001e-01,1.7974999999999999e+00,9.3936016449398063e-01,9.3935951624400804e-01,-2.0628329256399429e-11,-4.2070144544837137e-11,-4.4303713693211189e-10,2.9858552129366763e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.7039076553938384e-03,4.7039082203388745e-03,5.4149082161722040e-01,5.4149106355800591e-01
2.0500000000000002e-01,1.7949999999999999e+00,9.4074745794612702e-01,9.4074673409184495e-01,-1.6270519035803054e-11,-4.9295322395004864e-11,-4.3834940383668248e-10,2.9177257078191447e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.6889388888832163e-03,4.6889394768226808e-03,5.4826939976940914e-01,5.4826964664159250e-01
2.0750000000000002e-01,1.7925000000000000e+00,9.4213475139827341e-01,9.4213395193968186e-01,-1.1912708815206679e-11,-5.6520500245172592e-11,-4.3366167074125306e-10,2.8495962027016130e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.6739701223725942e-03,4.6739707333064871e-03,5.5504797792159788e-01,5.5504822972517898e-01
2.0999999999999999e-01,1.7900000000000000e+00,9.4352204485041968e-01,9.4352116978751888e-01,-7.5548985946103525e-12,-6.3745678095340320e-11,-4.2897393764582370e-10,2.7814666975840814e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.6590013558619721e-03,4.6590019897902934e-03,5.6182655607378662e-01,5.6182681280876556e-01
2.1249999999999999e-01,1.7875000000000001e+00,9.4488540569138268e-01,9.4488444299956220e-01,-3.7083614029466582e-12,-7.0315009619046077e-11,-4.1590404413658780e-10,2.7109610230232495e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.6440501115534464e-03,4.6440507926760631e-03,5.6861255233100583e-01,5.6861282697747928e-01
2.1500000000000000e-01,1.7849999999999999e+00,9.4620311047408789e-01,9.4620203721409191e-01,-8.3717583570837354e-13,-7.5633188150732412e-11,-3.8684356768409044e-10,2.6359223482936526e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.6291322942150744e-03,4.6291330686978847e-03,5.7541270005012934e-01,5.7541301737012862e-01
2.1750000000000000e-01,1.7825000000000000e+00,9.4752081525679321e-01,9.4751963142862139e-01,2.0340097315299112e-12,-8.0951366682418269e-11,-3.5778309123159313e-10,2.5608836735640623e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.6142144768767015e-03,4.6142153447197073e-03,5.8221284776925297e-01,5.8221320776277741e-01
2.2000000000000000e-01,1.7800000000000000e+00,9.4883852003949842e-01,9.4883722564315087e-01,4.9051952987681958e-12,-8.6269545214104139e-11,-3.2872261477909578e-10,2.4858449988344720e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.5992966595383294e-03,4.5992976207415298e-03,5.8901299548837649e-01,5.8901339815542619e-01
2.2250000000000000e-01,1.7775000000000001e+00,9.5014940790220781e-01,9.5014808587191435e-01,7.9196769573566660e-12,-9.1091141017924292e-11,-2.9848312182720799e-10,2.4117193742119713e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.5843845608638072e-03,4.5843855482262151e-03,5.9581577008173481e-01,5.9581618482165244e-01
2.2500000000000001e-01,1.7749999999999999e+00,9.5140576040495028e-01,9.5140507421454867e-01,1.2080527346746562e-11,-9.1940074998816039e-11,-2.5881149688019668e-10,2.3448981504461836e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.5695182115000864e-03,4.5695186874138071e-03,6.0263955966897165e-01,6.0263974167649925e-01
2.2750000000000001e-01,1.7725000000000000e+00,9.5266211290769265e-01,9.5266206255718289e-01,1.6241377736136459e-11,-9.2789008979707709e-11,-2.1913987193318543e-10,2.2780769266804020e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.5546518621363656e-03,4.5546518266014000e-03,6.0946334925620838e-01,6.0946329853134529e-01
2.3000000000000001e-01,1.7700000000000000e+00,9.5391846541043501e-01,9.5391905089981710e-01,2.0402228125526353e-11,-9.3637942960599379e-11,-1.7946824698617417e-10,2.2112557029146201e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.5397855127726448e-03,4.5397849657889929e-03,6.1628713884344521e-01,6.1628685538619143e-01
2.3250000000000001e-01,1.7675000000000001e+00,9.5517481791317749e-01,9.5517603924245131e-01,2.4563078514916251e-11,-9.4486876941491048e-11,-1.3979662203916292e-10,2.1444344791488385e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.5249191634089241e-03,4.5249181049765858e-03,6.2311092843068194e-01,6.2311041224103758e-01
2.3500000000000001e-01,1.7649999999999999e+00,9.5638141155531420e-01,9.5638244097532388e-01,1.5830304376309302e-11,-9.0789808406375724e-11,-1.0933742114394791e-10,2.0632204406634346e-09,0.0000000000000000e+00,0.0000000000000000e+00,4.5101003824803828e-03,4.5100994989270516e-03,6.2995840035719985e-01,6.2995796700061690e-01
