y_over_delta,u,u_over_ubulk
2.3000000000000001e-01,9.5372523161687761e-01,9.5516735969166744e-01
2.3250000000000001e-01,9.5498391192607324e-01,9.5642794325155933e-01
2.3500000000000001e-01,9.5619256122976803e-01,9.5763842015405887e-01
2.3750000000000002e-01,9.5739427852667669e-01,9.5884195456788379e-01
2.3999999999999999e-01,9.5859599582358523e-01,9.6004548898170861e-01
2.4249999999999999e-01,9.5979771312049378e-01,9.6124902339553342e-01
2.4500000000000000e-01,9.6096566875265654e-01,9.6241874509359382e-01
2.4750000000000000e-01,9.6211508314270500e-01,9.6356989751332467e-01
2.5000000000000000e-01,9.6326449753275345e-01,9.6472104993305563e-01
2.5250000000000000e-01,9.6441391192280190e-01,9.6587220235278648e-01
2.5500000000000000e-01,9.6554358212084856e-01,9.6700358072531978e-01
2.5750000000000001e-01,9.6664515481489288e-01,9.6810681910761043e-01
2.6000000000000001e-01,9.6774672750893709e-01,9.6921005748990086e-01
2.6250000000000001e-01,9.6884830020298129e-01,9.7031329587219139e-01
2.6500000000000001e-01,9.6994182580937660e-01,9.7140847499883043e-01
2.6750000000000002e-01,9.7099866616325414e-01,9.7246691340117564e-01
2.7000000000000002e-01,9.7205550651713168e-01,9.7352535180352073e-01
2.7250000000000002e-01,9.7311234687100934e-01,9.7458379020586605e-01
2.7500000000000002e-01,9.7416918722488699e-01,9.7564222860821126e-01
2.7750000000000002e-01,9.7518756463855949e-01,9.7666214591053335e-01
2.8000000000000003e-01,9.7620379328462292e-01,9.7767991119609454e-01
2.8250000000000003e-01,9.7722002193068636e-01,9.7869767648165573e-01
2.8500000000000003e-01,9.7823625057674979e-01,9.7971544176721692e-01
2.8750000000000003e-01,9.7922434798059066e-01,9.8070503327329961e-01
2.8999999999999998e-01,9.8020119288754237e-01,9.8168335526759087e-01
2.9249999999999998e-01,9.8117803779449431e-01,9.8266167726188236e-01
2.9499999999999998e-01,9.8215488270144613e-01,9.8363999925617374e-01
2.9749999999999999e-01,9.8311498172949419e-01,9.8460155005011518e-01
2.9999999999999999e-01,9.8405704673410765e-01,9.8554503955137240e-01
3.0249999999999999e-01,9.8499911173872090e-01,9.8648852905262929e-01
3.0499999999999999e-01,9.8594117674333437e-01,9.8743201855388640e-01
3.0750000000000000e-01,9.8687471049905429e-01,9.8836696390614720e-01
3.1000000000000000e-01,9.8778246899216038e-01,9.8927609502101543e-01
3.1250000000000000e-01,9.8869022748526647e-01,9.9018522613588367e-01
3.1500000000000000e-01,9.8959798597837234e-01,9.9109435725075179e-01
3.1750000000000000e-01,9.9050524044531230e-01,9.9200298357731576e-01
3.2000000000000001e-01,9.9138124528995419e-01,9.9288031302902291e-01
3.2250000000000001e-01,9.9225725013459609e-01,9.9375764248073006e-01
3.2500000000000001e-01,9.9313325497923799e-01,9.9463497193243722e-01
3.2750000000000001e-01,9.9400925982387989e-01,9.9551230138414437e-01
3.3000000000000002e-01,9.9486260505838375e-01,9.9636693696211343e-01
3.3250000000000002e-01,9.9570967296845758e-01,9.9721528572370910e-01
3.3500000000000002e-01,9.9655674087853130e-01,9.9806363448530477e-01
3.3750000000000002e-01,9.9740380878860502e-01,9.9891198324690034e-01
3.4000000000000002e-01,9.9823505722166361e-01,9.9974448861084708e-01
3.4250000000000003e-01,9.9905337627446955e-01,1.0005640450440232e+00
3.4500000000000003e-01,9.9987169532727549e-01,1.0013836014771995e+00
3.4750000000000003e-01,1.0006900143800812e+00,1.0022031579103754e+00
3.5000000000000003e-01,1.0014996366314710e+00,1.0030140043917006e+00
3.5249999999999998e-01,1.0022905607598149e+00,1.0038061244765450e+00
3.5499999999999998e-01,1.0030814848881593e+00,1.0045982445613899e+00
3.5749999999999998e-01,1.0038724090165037e+00,1.0053903646462350e+00
3.5999999999999999e-01,1.0046612690801995e+00,1.0061804175453588e+00
3.6249999999999999e-01,1.0054278114448867e+00,1.0069481189988778e+00
3.6499999999999999e-01,1.0061943538095739e+00,1.0077158204523970e+00
3.6749999999999999e-01,1.0069608961742609e+00,1.0084835219059158e+00
3.7000000000000000e-01,1.0077274385389483e+00,1.0092512233594351e+00
3.7250000000000000e-01,1.0084737973908711e+00,1.0099987107806969e+00
3.7500000000000000e-01,1.0092166460666614e+00,1.0107426827180883e+00
3.7750000000000000e-01,1.0099594947424517e+00,1.0114866546554797e+00
3.8000000000000000e-01,1.0107023434182421e+00,1.0122306265928711e+00
3.8250000000000001e-01,1.0114303355531531e+00,1.0129597195248055e+00
3.8500000000000001e-01,1.0121491852013698e+00,1.0136796561456898e+00
3.8750000000000001e-01,1.0128680348495860e+00,1.0143995927665737e+00
3.9000000000000001e-01,1.0135868844978027e+00,1.0151195293874580e+00
3.9250000000000002e-01,1.0142973767586172e+00,1.0158310959837336e+00
3.9500000000000002e-01,1.0149945887873959e+00,1.0165293622669320e+00
3.9750000000000002e-01,1.0156918008161746e+00,1.0172276285501307e+00
4.0000000000000002e-01,1.0163890128449535e+00,1.0179258948333294e+00
4.0250000000000002e-01,1.0170831204343935e+00,1.0186210519829662e+00
4.0500000000000003e-01,1.0177601000826542e+00,1.0192990552922607e+00
4.0750000000000003e-01,1.0184370797309148e+00,1.0199770586015555e+00
4.1000000000000003e-01,1.0191140593791754e+00,1.0206550619108503e+00
4.1250000000000003e-01,1.0197910390274358e+00,1.0213330652201447e+00
4.1500000000000004e-01,1.0204495009931522e+00,1.0219925228463045e+00
4.1749999999999998e-01,1.0211063666069249e+00,1.0226503817066763e+00
4.1999999999999998e-01,1.0217632322206978e+00,1.0233082405670486e+00
4.2249999999999999e-01,1.0224200978344706e+00,1.0239660994274209e+00
4.2499999999999999e-01,1.0230629975126564e+00,1.0246099712343124e+00
4.2749999999999999e-01,1.0236995588046911e+00,1.0252474950707784e+00
4.2999999999999999e-01,1.0243361200967260e+00,1.0258850189072444e+00
4.3250000000000000e-01,1.0249726813887610e+00,1.0265225427437106e+00
4.3500000000000000e-01,1.0256010898404839e+00,1.0271519014119534e+00
4.3750000000000000e-01,1.0262197338439272e+00,1.0277714808670930e+00
4.4000000000000000e-01,1.0268383778473704e+00,1.0283910603222326e+00
4.4250000000000000e-01,1.0274570218508132e+00,1.0290106397773715e+00
4.4500000000000001e-01,1.0280718289197173e+00,1.0296263764961426e+00
4.4750000000000001e-01,1.0286732067177342e+00,1.0302286636376237e+00
4.5000000000000001e-01,1.0292745845157512e+00,1.0308309507791049e+00
4.5250000000000001e-01,1.0298759623137681e+00,1.0314332379205862e+00
4.5500000000000002e-01,1.0304773401117848e+00,1.0320355250620672e+00
4.5750000000000002e-01,1.0310610376481635e+00,1.0326201052075836e+00
4.6000000000000002e-01,1.0316445460908348e+00,1.0332044959734641e+00
4.6250000000000002e-01,1.0322280545335061e+00,1.0337888867393445e+00
4.6500000000000002e-01,1.0328115629761774e+00,1.0343732775052252e+00
4.6750000000000003e-01,1.0333824086463674e+00,1.0349449863512441e+00
4.7000000000000003e-01,1.0339491809771584e+00,1.0355126156985668e+00
4.7250000000000003e-01,1.0345159533079489e+00,1.0360802450458890e+00
4.7500000000000003e-01,1.0350827256387394e+00,1.0366478743932113e+00
4.7750000000000004e-01,1.0356414424913036e+00,1.0372074360816175e+00
4.7999999999999998e-01,1.0361928361818435e+00,1.0377596635346447e+00
4.8249999999999998e-01,1.0367442298723839e+00,1.0383118909876725e+00
4.8499999999999999e-01,1.0372956235629238e+00,1.0388641184406997e+00
4.8749999999999999e-01,1.0378424034810387e+00,1.0394117251448161e+00
4.8999999999999999e-01,1.0383779425717896e+00,1.0399480740243114e+00
4.9249999999999999e-01,1.0389134816625405e+00,1.0404844229038068e+00
4.9500000000000000e-01,1.0394490207532914e+00,1.0410207717833022e+00
4.9750000000000000e-01,1.0399836650989602e+00,1.0415562245647714e+00
5.0000000000000000e-01,1.0405038308423904e+00,1.0420771768509052e+00
5.0250000000000006e-01,1.0410239965858206e+00,1.0425981291370388e+00
5.0500000000000000e-01,1.0415441623292505e+00,1.0431190814231723e+00
5.0750000000000006e-01,1.0420643280726809e+00,1.0436400337093064e+00
5.1000000000000001e-01,1.0425727755759193e+00,1.0441492500360954e+00
5.1249999999999996e-01,1.0430787442206559e+00,1.0446559837561005e+00
5.1500000000000001e-01,1.0435847128653926e+00,1.0451627174761056e+00
5.1749999999999996e-01,1.0440906815101290e+00,1.0456694511961102e+00
5.2000000000000002e-01,1.0445879882222919e+00,1.0461675098858321e+00
5.2249999999999996e-01,1.0450793398558107e+00,1.0466596044922341e+00
5.2500000000000002e-01,1.0455706914893295e+00,1.0471516990986363e+00
5.2749999999999997e-01,1.0460620431228480e+00,1.0476437937050382e+00
5.3000000000000003e-01,1.0465484342781095e+00,1.0481309203324432e+00
5.3249999999999997e-01,1.0470259987000006e+00,1.0486092068795727e+00
5.3500000000000003e-01,1.0475035631218921e+00,1.0490874934267027e+00
5.3749999999999998e-01,1.0479811275437834e+00,1.0495657799738325e+00
5.4000000000000004e-01,1.0484569651727234e+00,1.0500423371169270e+00
5.4249999999999998e-01,1.0489209311001235e+00,1.0505070046072800e+00
5.4500000000000004e-01,1.0493848970275241e+00,1.0509716720976334e+00
5.4749999999999999e-01,1.0498488629549243e+00,1.0514363395879864e+00
5.5000000000000004e-01,1.0503128288823245e+00,1.0519010070783392e+00
5.5249999999999999e-01,1.0507649991821972e+00,1.0523538611049945e+00
5.5500000000000005e-01,1.0512157735498180e+00,1.0528053170886085e+00
5.5750000000000000e-01,1.0516665479174390e+00,1.0532567730722227e+00
5.6000000000000005e-01,1.0521173222850597e+00,1.0537082290558366e+00
5.6250000000000000e-01,1.0525594315112941e+00,1.0541510067955024e+00
5.6500000000000006e-01,1.0529971041851385e+00,1.0545893412742666e+00
5.6750000000000000e-01,1.0534347768589829e+00,1.0550276757530310e+00
5.7000000000000006e-01,1.0538724495328275e+00,1.0554660102317956e+00
5.7250000000000001e-01,1.0543048726951172e+00,1.0558990872612180e+00
