y_over_delta,u,v,pressure,temp,scalar_1,scalar_2,u_over_ubulk,y_plus,u_plus
7.4999999999999997e-02,8.2552182828529808e-01,1.3236969878034050e-10,-1.0589654869167216e-09,0.0000000000000000e+00,5.4708264814223705e-03,1.9836137039315510e-01,8.2677111637437306e-01,8.3702051954639600e+01,7.3969676579673688e+01
7.7499999999999999e-02,8.2916058144972626e-01,1.4288534178188705e-10,-9.2191430895466792e-10,0.0000000000000000e+00,5.4563466425744476e-03,2.0510638416448684e-01,8.3041537617815553e-01,8.6492120353127589e+01,7.4295721737419640e+01
8.0000000000000002e-02,8.3279933461415445e-01,1.5340098478343362e-10,-7.8486313099261457e-10,0.0000000000000000e+00,5.4418668037265255e-03,2.1185139793581859e-01,8.3405963598193789e-01,8.9282188751615578e+01,7.4621766895165607e+01
8.2500000000000004e-02,8.3643808777858264e-01,1.6391662778498020e-10,-6.4781195303056101e-10,0.0000000000000000e+00,5.4273869648786034e-03,2.1859641170715030e-01,8.3770389578572035e-01,9.2072257150103567e+01,7.4947812052911573e+01
8.5000000000000006e-02,8.4001503004592859e-01,1.6327475244014260e-10,-5.1233756557449216e-10,0.0000000000000000e+00,5.4128588802502733e-03,2.2533982595671809e-01,8.4128625115205025e-01,9.4862325548591571e+01,7.5268318735586845e+01
8.7500000000000008e-02,8.4320446553541251e-01,9.2683819769899025e-11,-3.8674844167517248e-10,0.0000000000000000e+00,5.3980283316909282e-03,2.3207321243522724e-01,8.4448051331435048e-01,9.7652393947079560e+01,7.5554103439934266e+01
8.9999999999999997e-02,8.4639390102489664e-01,2.2092887099655855e-11,-2.6115931777585343e-10,0.0000000000000000e+00,5.3831977831315832e-03,2.3880659891373637e-01,8.4767477547665093e-01,1.0044246234556753e+02,7.5839888144281716e+01
9.2499999999999999e-02,8.4958333651438078e-01,-4.8498045570587703e-11,-1.3557019387653375e-10,0.0000000000000000e+00,5.3683672345722390e-03,2.4553998539224553e-01,8.5086903763895150e-01,1.0323253074405551e+02,7.6125672848629151e+01
9.5000000000000001e-02,8.5277277200386470e-01,-1.1908897824083127e-10,-9.9810699772140543e-12,0.0000000000000000e+00,5.3535366860128931e-03,2.5227337187075471e-01,8.5406329980125173e-01,1.0602259914254351e+02,7.6411457552976586e+01
9.7500000000000003e-02,8.5565024977148019e-01,-1.0634678232600513e-10,8.6964121530375152e-11,0.0000000000000000e+00,5.3385297581765492e-03,2.5899688692829625e-01,8.5694513214627321e-01,1.0881266754103149e+02,7.6669289741712063e+01
1.0000000000000001e-01,8.5849488988416200e-01,-8.4832678139062335e-11,1.8089416225988543e-10,0.0000000000000000e+00,5.3235042641005224e-03,2.6571936288889386e-01,8.5979407714210743e-01,1.1160273593951949e+02,7.6924179560383124e+01
1.0250000000000001e-01,8.6133952999684382e-01,-6.3318573952119540e-11,2.7482420298939577e-10,0.0000000000000000e+00,5.3084787700244957e-03,2.7244183884949141e-01,8.6264302213794164e-01,1.1439280433800747e+02,7.7179069379054184e+01
1.0500000000000000e-01,8.6418417010952564e-01,-4.1804469765176842e-11,3.6875424371890556e-10,0.0000000000000000e+00,5.2934532759484681e-03,2.7916431481008896e-01,8.6549196713377574e-01,1.1718287273649544e+02,7.7433959197725244e+01
1.0750000000000000e-01,8.6684678931143722e-01,-3.5256545567967572e-11,4.5507484460445767e-10,0.0000000000000000e+00,5.2783686936735729e-03,2.8588240613406191e-01,8.6815861576088327e-01,1.1997294113498344e+02,7.7672539298786077e+01
1.1000000000000000e-01,8.6942054791124046e-01,-3.6014945460238380e-11,5.3768060084177573e-10,0.0000000000000000e+00,5.2632552651913564e-03,2.9259835692676928e-01,8.7073626931034465e-01,1.2276300953347142e+02,7.7903157175501747e+01
1.1250000000000000e-01,8.7199430651104382e-01,-3.6773345352509194e-11,6.2028635707909379e-10,0.0000000000000000e+00,5.2481418367091390e-03,2.9931430771947670e-01,8.7331392285980625e-01,1.2555307793195941e+02,7.8133775052217445e+01
1.1500000000000000e-01,8.7456806511084706e-01,-3.7531745244780002e-11,7.0289211331641206e-10,0.0000000000000000e+00,5.2330284082269234e-03,3.0603025851218407e-01,8.7589157640926762e-01,1.2834314633044738e+02,7.8364392928933114e+01
1.1750000000000001e-01,8.7704527494307616e-01,-2.7179347378371367e-11,7.8096625372106194e-10,0.0000000000000000e+00,5.2178969522971687e-03,3.1274472017748300e-01,8.7837253508087498e-01,1.3113321472893540e+02,7.8586359694476528e+01
1.2000000000000000e-01,8.7939918152996932e-01,-2.6372559888306861e-12,8.5325302932736059e-10,0.0000000000000000e+00,5.2027424733621271e-03,3.1945728006560969e-01,8.8073000390847589e-01,1.3392328312742336e+02,7.8797278052980644e+01
1.2250000000000000e-01,8.8175308811686270e-01,2.1904835400710124e-11,9.2553980493365965e-10,0.0000000000000000e+00,5.1875879944270837e-03,3.2616983995373638e-01,8.8308747273607691e-01,1.3671335152591135e+02,7.9008196411484775e+01
1.2500000000000000e-01,8.8410699470375587e-01,4.6446926790250935e-11,9.9782658053995861e-10,0.0000000000000000e+00,5.1724335154920411e-03,3.3288239984186307e-01,8.8544494156367781e-01,1.3950341992439934e+02,7.9219114769988892e+01
1.2750000000000000e-01,8.8642141027319832e-01,6.8391375512847748e-11,1.0648584383550592e-09,0.0000000000000000e+00,5.1572749718390596e-03,3.3959463214647856e-01,8.8776285961083190e-01,1.4229348832288736e+02,7.9426494593606904e+01
1.3000000000000000e-01,8.8858393731398411e-01,8.0344890901044761e-11,1.1116790738963183e-09,0.0000000000000000e+00,5.1421007946555472e-03,3.4630560451451242e-01,8.8992865927165243e-01,1.4508355672137532e+02,7.9620264667662951e+01
1.3250000000000001e-01,8.9074646435476978e-01,9.2298406289241761e-11,1.1584997094375778e-09,0.0000000000000000e+00,5.1269266174720340e-03,3.5301657688254628e-01,8.9209445893247286e-01,1.4787362511986331e+02,7.9814034741718984e+01
1.3500000000000001e-01,8.9290899139555546e-01,1.0425192167743877e-10,1.2053203449788373e-09,0.0000000000000000e+00,5.1117524402885216e-03,3.5972754925058015e-01,8.9426025859329328e-01,1.5066369351835129e+02,8.0007804815775017e+01
1.3750000000000001e-01,8.9507151843634114e-01,1.1620543706563580e-10,1.2521409805200968e-09,0.0000000000000000e+00,5.0965782631050092e-03,3.6643852161861401e-01,8.9642605825411370e-01,1.5345376191683928e+02,8.0201574889831051e+01
1.4000000000000001e-01,8.9707981861909603e-01,9.4374994315138992e-11,1.2791982421653445e-09,0.0000000000000000e+00,5.0814041568399727e-03,3.7315061123533089e-01,8.9843739766055919e-01,1.5624383031532727e+02,8.0381525691739995e+01
1.4250000000000002e-01,8.9908392785462155e-01,7.1626509223916871e-11,1.3057184556068958e-09,0.0000000000000000e+00,5.0662300525020675e-03,3.7986273121206643e-01,9.0044453977748329e-01,1.5903389871381526e+02,8.0561100969949266e+01
1.4499999999999999e-01,9.0108803709014718e-01,4.8878024132695009e-11,1.3322386690484466e-09,0.0000000000000000e+00,5.0510559481641631e-03,3.8657485118880186e-01,9.0245168189440750e-01,1.6182396711230322e+02,8.0740676248158550e+01
1.4749999999999999e-01,9.0309214632567281e-01,2.6129539041472884e-11,1.3587588824899978e-09,0.0000000000000000e+00,5.0358818438262587e-03,3.9328697116553735e-01,9.0445882401133171e-01,1.6461403551079124e+02,8.0920251526367835e+01
1.4999999999999999e-01,9.0499270335788817e-01,1.8202154682494237e-11,1.3754012495604408e-09,0.0000000000000000e+00,5.0207204011676930e-03,4.0000226482655465e-01,9.0636225721614683e-01,1.6740410390927920e+02,8.1090548160784152e+01
1.5250000000000000e-01,9.0685701711894473e-01,1.5462155579801049e-11,1.3885863704009932e-09,0.0000000000000000e+00,5.0055633900968960e-03,4.0671866927707057e-01,9.0822939230172339e-01,1.7019417230776719e+02,8.1257597269872917e+01
1.5500000000000000e-01,9.0872133088000151e-01,1.2722156477107865e-11,1.4017714912415458e-09,0.0000000000000000e+00,4.9904063790260998e-03,4.1343507372758648e-01,9.1009652738730018e-01,1.7298424070625518e+02,8.1424646378961711e+01
1.5750000000000000e-01,9.1058564464105818e-01,9.9821573744146805e-12,1.4149566120820982e-09,0.0000000000000000e+00,4.9752493679553018e-03,4.2015147817810239e-01,9.1196366247287697e-01,1.7577430910474317e+02,8.1591695488050490e+01
1.6000000000000000e-01,9.1239001051328295e-01,3.7616323506593709e-12,1.4206152716254360e-09,0.0000000000000000e+00,4.9601051647077260e-03,4.2687126589572794e-01,9.1377075894860038e-01,1.7856437750323116e+02,8.1753373054199272e+01
1.6250000000000001e-01,9.1413630186820172e-01,-5.8306521591251367e-12,1.4189826717870959e-09,0.0000000000000000e+00,4.9449733690388967e-03,4.3359433115336582e-01,9.1551969302102820e-01,1.8135444590171915e+02,8.1909846938124943e+01
1.6500000000000001e-01,9.1588259322312049e-01,-1.5422936668909643e-11,1.4173500719487558e-09,0.0000000000000000e+00,4.9298415733700657e-03,4.4031739641100376e-01,9.1726862709345613e-01,1.8414451430020713e+02,8.2066320822050614e+01
1.6750000000000001e-01,9.1762888457803937e-01,-2.5015221178694153e-11,1.4157174721104155e-09,0.0000000000000000e+00,4.9147097777012365e-03,4.4704046166864164e-01,9.1901756116588407e-01,1.8693458269869512e+02,8.2222794705976298e+01
1.7000000000000001e-01,9.1934561816292160e-01,-3.6287226052674984e-11,1.4170000233769885e-09,0.0000000000000000e+00,4.8995874133296886e-03,4.5376624164488411e-01,9.2073689273757442e-01,1.8972465109718314e+02,8.2376620109128837e+01
1.7250000000000001e-01,9.2098447839213049e-01,-5.1984648040019017e-11,1.4259628765930429e-09,0.0000000000000000e+00,4.8844898967990574e-03,4.6049917386052686e-01,9.2237823310539846e-01,1.9251471949567110e+02,8.2523467784090585e+01
1.7500000000000002e-01,9.2262333862133938e-01,-6.7682070027363043e-11,1.4349257298090974e-09,0.0000000000000000e+00,4.8693923802684272e-03,4.6723210607616966e-01,9.2401957347322261e-01,1.9530478789415912e+02,8.2670315459052347e+01
1.7749999999999999e-01,9.2426219885054828e-01,-8.3379492014706901e-11,1.4438885830251516e-09,0.0000000000000000e+00,4.8542948637377969e-03,4.7396503829181236e-01,9.2566091384104665e-01,1.9809485629264705e+02,8.2817163134014095e+01
1.7999999999999999e-01,9.2589716022077817e-01,-9.7861013728817640e-11,1.4519852649991997e-09,0.0000000000000000e+00,4.8391989584413483e-03,4.8069848481613042e-01,9.2729834944962608e-01,2.0088492469113507e+02,8.2963661457416833e+01
1.8250000000000000e-01,9.2744390990660786e-01,-8.4832791761006676e-11,1.4404848226228422e-09,0.0000000000000000e+00,4.8241395073182524e-03,4.8744356757422536e-01,9.2884743988029506e-01,2.0367499308962303e+02,8.3102255701797006e+01
1.8500000000000000e-01,9.2899065959243765e-01,-7.1804569793195724e-11,1.4289843802464848e-09,0.0000000000000000e+00,4.8090800561951565e-03,4.9418865033232018e-01,9.3039653031096414e-01,2.0646506148811102e+02,8.3240849946177178e+01
1.8750000000000000e-01,9.3053740927826722e-01,-5.8776347825384772e-11,1.4174839378701271e-09,0.0000000000000000e+00,4.7940206050720614e-03,5.0093373309041511e-01,9.3194562074163301e-01,2.0925512988659901e+02,8.3379444190557336e+01
1.9000000000000000e-01,9.3208415896409691e-01,-4.5748125857573807e-11,1.4059834954937694e-09,0.0000000000000000e+00,4.7789611539489664e-03,5.0767881584851005e-01,9.3349471117230209e-01,2.1204519828508703e+02,8.3518038434937495e+01
1.9250000000000000e-01,9.3356089514394380e-01,-4.0829239858752555e-11,1.3819732529335515e-09,0.0000000000000000e+00,4.7639383718215758e-03,5.1443678772385182e-01,9.3497368214335252e-01,2.1483526668357501e+02,8.3650359221467966e+01
1.9500000000000001e-01,9.3502115755767712e-01,-3.7818432911458870e-11,1.3550195279771295e-09,0.0000000000000000e+00,4.7489242176931758e-03,5.2119779233266339e-01,9.3643615441802208e-01,2.1762533508206297e+02,8.3781203900269091e+01
1.9750000000000001e-01,9.3648141997141043e-01,-3.4807625964165185e-11,1.3280658030207075e-09,0.0000000000000000e+00,4.7339100635647759e-03,5.2795879694147496e-01,9.3789862669269175e-01,2.2041540348055096e+02,8.3912048579070216e+01
2.0000000000000001e-01,9.3794168238514375e-01,-3.1796819016871501e-11,1.3011120780642857e-09,0.0000000000000000e+00,4.7188959094363759e-03,5.3471980155028653e-01,9.3936109896736142e-01,2.2320547187903898e+02,8.4042893257871341e+01
