y_over_delta,y_plus,u_plus
4.0000000000000002e-01,4.4632746451522598e+02,9.1089085360130738e+01
4.0250000000000002e-01,4.4911701116844620e+02,9.1151291488556538e+01
4.0500000000000003e-01,4.5190655782166624e+02,9.1211962605804146e+01
4.0750000000000003e-01,4.5469610447488645e+02,9.1272633723051740e+01
4.1000000000000003e-01,4.5748565112810661e+02,9.1333304840299334e+01
4.1250000000000003e-01,4.6027519778132677e+02,9.1393975957546914e+01
4.1500000000000004e-01,4.6306474443454698e+02,9.1452987514582190e+01
4.1749999999999998e-01,4.6585429108776708e+02,9.1511856006081914e+01
4.1999999999999998e-01,4.6864383774098724e+02,9.1570724497581651e+01
4.2249999999999999e-01,4.7143338439420739e+02,9.1629592989081388e+01
4.2499999999999999e-01,4.7422293104742761e+02,9.1687209849283718e+01
4.2749999999999999e-01,4.7701247770064776e+02,9.1744258661435680e+01
4.2999999999999999e-01,4.7980202435386786e+02,9.1801307473587656e+01
4.3250000000000000e-01,4.8259157100708802e+02,9.1858356285739632e+01
4.3500000000000000e-01,4.8538111766030818e+02,9.1914674437920155e+01
4.3750000000000000e-01,4.8817066431352839e+02,9.1970117497344262e+01
4.4000000000000000e-01,4.9096021096674855e+02,9.2025560556768369e+01
4.4250000000000000e-01,4.9374975761996870e+02,9.2081003616192447e+01
4.4500000000000001e-01,4.9653930427318892e+02,9.2136102808402967e+01
4.4750000000000001e-01,4.9932885092640902e+02,9.2189998465365974e+01
4.5000000000000001e-01,5.0211839757962917e+02,9.2243894122328967e+01
4.5250000000000001e-01,5.0490794423284933e+02,9.2297789779291975e+01
4.5500000000000002e-01,5.0769749088606955e+02,9.2351685436254954e+01
4.5750000000000002e-01,5.1048703753928970e+02,9.2403996582916079e+01
4.6000000000000002e-01,5.1327658419250986e+02,9.2456290782942972e+01
4.6250000000000002e-01,5.1606613084573007e+02,9.2508584982969850e+01
4.6500000000000002e-01,5.1885567749895017e+02,9.2560879182996743e+01
4.6750000000000003e-01,5.2164522415217027e+02,9.2612038541591005e+01
4.7000000000000003e-01,5.2443477080539049e+02,9.2662832846297889e+01
4.7250000000000003e-01,5.2722431745861070e+02,9.2713627151004729e+01
4.7500000000000003e-01,5.3001386411183080e+02,9.2764421455711570e+01
4.7750000000000004e-01,5.3280341076505101e+02,9.2814493826066027e+01
4.7999999999999998e-01,5.3559295741827111e+02,9.2863909892463710e+01
4.8249999999999998e-01,5.3838250407149133e+02,9.2913325958861449e+01
4.8499999999999999e-01,5.4117205072471143e+02,9.2962742025259132e+01
4.8749999999999999e-01,5.4396159737793164e+02,9.3011744604001066e+01
4.8999999999999999e-01,5.4675114403115185e+02,9.3059739776454336e+01
4.9249999999999999e-01,5.4954069068437195e+02,9.3107734948907591e+01
4.9500000000000000e-01,5.5233023733759205e+02,9.3155730121360861e+01
4.9750000000000000e-01,5.5511978399081227e+02,9.3203645106493980e+01
5.0000000000000000e-01,5.5790933064403248e+02,9.3250262514992031e+01
5.0250000000000006e-01,5.6069887729725269e+02,9.3296879923490096e+01
5.0500000000000000e-01,5.6348842395047279e+02,9.3343497331988118e+01
5.0750000000000006e-01,5.6627797060369301e+02,9.3390114740486197e+01
5.1000000000000001e-01,5.6906751725691299e+02,9.3435681956816083e+01
5.1249999999999996e-01,5.7185706391013321e+02,9.3481027017110435e+01
5.1500000000000001e-01,5.7464661056335342e+02,9.3526372077404773e+01
5.1749999999999996e-01,5.7743615721657352e+02,9.3571717137699096e+01
5.2000000000000002e-01,5.8022570386979373e+02,9.3616285913022224e+01
