iter,dt,residual,res_u,res_k,res_w,U_bulk,tau_wall,u_max,k_min,k_max,omega_min,omega_max,nu_t_nu_max
210,1.6105100000000005e-03,2.2568499788018681e-03,6.1410751112668061e-04,2.2568499788018681e-03,3.9171711489621032e-05,1.5205001748490789e+01,1.0512620066369855e+00,1.8302794187861373e+01,1.0000000000000002e-10,6.3212841749730959e+00,1.5876665143690296e+01,3.5909221486853778e+04,1.1735564429840221e+02
220,1.6105100000000005e-03,2.2854817613112231e-03,5.5259836189264482e-04,2.2854817613112231e-03,3.4995862044844192e-05,1.5202744970548334e+01,1.0587567530187754e+00,1.8155330276530066e+01,1.0000000000000002e-10,6.1425354907705545e+00,1.6003146612917433e+01,3.5909221486872892e+04,1.1808744950459540e+02
230,1.6105100000000005e-03,2.3073824007288912e-03,4.9644646498497804e-04,2.3073824007288912e-03,3.1206712166213357e-05,1.5200207180563531e+01,1.0650924704892846e+00,1.8022387674270366e+01,1.0000000000000002e-10,5.9659952956892663e+00,1.6092069534299789e+01,3.5909221487580537e+04,1.1807956597357405e+02
240,1.6105100000000005e-03,2.3210585353141177e-03,4.4517530821913508e-04,2.3210585353141177e-03,2.7754824215837784e-05,1.5197433341472609e+01,1.0703687897097451e+00,1.7900852042497540e+01,1.0000000000000002e-10,5.7929425501027989e+00,1.6147012873900039e+01,3.5909221487611387e+04,1.1735093398408267e+02
250,1.6105100000000005e-03,2.3260712854087052e-03,3.9840983705160296e-04,2.3260712854087052e-03,2.4611644259810335e-05,1.5194465341842673e+01,1.0746783247152167e+00,1.7789368631245665e+01,1.0000000000000002e-10,5.6235480133191276e+00,1.6171567903868372e+01,3.5909221486924129e+04,1.1644884137509129e+02
260,1.6105100000000005e-03,2.3221610631057672e-03,3.5587400692607555e-04,2.3221610631057672e-03,2.1762965705096482e-05,1.5191341641562015e+01,1.0781022105429816e+00,1.7687154229516253e+01,1.0000000000000002e-10,5.4587771991133778e+00,1.6169223792821249e+01,3.5909221486935727e+04,1.1551022370409547e+02
270,1.6105100000000005e-03,2.3093739051397526e-03,3.1732511577498387e-04,2.3093739051397526e-03,1.9199731109409792e-05,1.5188096404431827e+01,1.0807142425249678e+00,1.7594749684467288e+01,1.0000000000000002e-10,5.2991126179071966e+00,1.6143286020416603e+01,3.5909221486947936e+04,1.1478635047623355e+02
280,1.6105100000000005e-03,2.2881818415024882e-03,2.8253337272031746e-04,2.2881818415024882e-03,1.6919379079202028e-05,1.5184760707461731e+01,1.0825876852586256e+00,1.7510842666301635e+01,1.0000000000000002e-10,5.1444508392927224e+00,1.6096841088406681e+01,3.5909221487669965e+04,1.1374608089382535e+02
290,1.6105100000000005e-03,2.2594129724015930e-03,2.5123247770962836e-04,2.2594129724015930e-03,1.4927908751311782e-05,1.5181363471699427e+01,1.0837916288539198e+00,1.7435296024157239e+01,1.0000000000000002e-10,4.9951991720205582e+00,1.6032515596383000e+01,3.5909221487692637e+04,1.1265872385829229e+02
300,1.6105100000000005e-03,2.2242056168940336e-03,2.2312370886645757e-04,2.2242056168940336e-03,1.3223321633760429e-05,1.5177929845644144e+01,1.0843901990540052e+00,1.7367687554054392e+01,1.0000000000000002e-10,4.8516204787124009e+00,1.5953031634325505e+01,3.5909221487711366e+04,1.1157111237610623e+02
